provincia_id,provincia_nombre,causa_id,caso_id_ministerio_publico,circunscripcion_id,circunscripcion_descripcion,unidad_id,unidad_descripcion,caso_fecha_inicio,causa_fecha_hecho,delito_codigo,delito_descripcion,delito_tentativa,delito_estadistico,fecha_envio
02,Ciudad Autónoma de Buenos Aires,436677,MPF 135432,CABA,CABA,965,JUZGADO 18,2017-02-03,2016-12-03,1008,Amenazas,NO,Amenazas,2018-11-05
02,Ciudad Autónoma de Buenos Aires,437280,MPF 136364,CABA,CABA,966,JUZGADO 11,2017-02-13,2016-12-03,1008,Amenazas,NO,Amenazas,2018-11-05
02,Ciudad Autónoma de Buenos Aires,444973,MPF 146674,CABA,CABA,963,JUZGADO 16,2017-05-15,2017-01-28,449,"Hostigar, maltratar, intimidar (Art. 52 según TC Ley 5666 y modif.)",NO,Contravención,2018-11-05
02,Ciudad Autónoma de Buenos Aires,462719,MPF 157733,CABA,CABA,964,JUZGADO 17,2017-12-20,2017-08-17,1056,Acoso Sexual en espacio público (Art. 65 bis según TC Ley 5666 y modif.),NO,Sin clasificar,2018-11-05
02,Ciudad Autónoma de Buenos Aires,456231,MPF 163948,CABA,CABA,1467,JUZGADO 29,2017-09-28,2017-09-02,1008,Amenazas,NO,Amenazas,2018-11-05
02,Ciudad Autónoma de Buenos Aires,462381,MPF 172114,CABA,CABA,966,JUZGADO 11,2017-12-19,2017-10-17,1008,Amenazas,NO,Amenazas,2018-11-05
02,Ciudad Autónoma de Buenos Aires,349944,MPF00001925,CABA,CABA,134,JUZGADO 10,2017-08-07,2012-07-04,403,Amenazas - CP (p/ L 2303),NO,Amenazas,2018-11-05
02,Ciudad Autónoma de Buenos Aires,349944,MPF00001925,CABA,CABA,134,JUZGADO 10,2017-08-07,2012-07-04,404,Daños - CP (p/ L 2303),NO,Daños,2018-11-05
02,Ciudad Autónoma de Buenos Aires,331208,MPF00003105,CABA,CABA,6,JUZGADO 4,2017-02-01,2012-07-05,403,Amenazas - CP (p/ L 2303),NO,Amenazas,2018-11-05
02,Ciudad Autónoma de Buenos Aires,331208,MPF00003105,CABA,CABA,6,JUZGADO 4,2017-02-01,2012-07-05,449,"Hostigar, maltratar, intimidar (Art. 52 según TC Ley 5666 y modif.)",NO,Contravención,2018-11-05
02,Ciudad Autónoma de Buenos Aires,337435,MPF00009062,CABA,CABA,966,JUZGADO 11,2017-01-02,2012-10-28,403,Amenazas - CP (p/ L 2303),NO,Amenazas,2018-11-05
02,Ciudad Autónoma de Buenos Aires,342735,MPF00010265,CABA,CABA,968,JUZGADO 22,2017-08-04,2012-10-20,449,"Hostigar, maltratar, intimidar (Art. 52 según TC Ley 5666 y modif.)",NO,Contravención,2018-11-05
02,Ciudad Autónoma de Buenos Aires,345781,MPF00016792,CABA,CABA,1436,JUZGADO 26,2017-12-27,2013-01-31,403,Amenazas - CP (p/ L 2303),NO,Amenazas,2018-11-05
02,Ciudad Autónoma de Buenos Aires,452400,MPF00017840,CABA,CABA,1141,JUZGADO 5,2017-08-25,s/d,372,Ln 13.944 (incumplimiento de los deberes de asistencia familiar) p/ l 2303,NO,Sin clasificar,2018-11-05
02,Ciudad Autónoma de Buenos Aires,400609,MPF00018620,CABA,CABA,109,JUZGADO 20,2017-11-24,2013-01-12,404,Daños - CP (p/ L 2303),NO,Daños,2018-11-05
02,Ciudad Autónoma de Buenos Aires,345793,MPF00019821,CABA,CABA,1466,JUZGADO 28,2017-07-12,2013-03-19,403,Amenazas - CP (p/ L 2303),NO,Amenazas,2018-11-05
02,Ciudad Autónoma de Buenos Aires,346188,MPF00020550,CABA,CABA,1437,JUZGADO 27,2017-05-05,2013-03-12,404,Daños - CP (p/ L 2303),NO,Daños,2018-11-05
02,Ciudad Autónoma de Buenos Aires,435587,MPF00023673,CABA,CABA,968,JUZGADO 22,2017-02-08,2013-05-13,403,Amenazas - CP (p/ L 2303),NO,Amenazas,2018-11-05
02,Ciudad Autónoma de Buenos Aires,351095,MPF00024541,CABA,CABA,1145,JUZGADO 9,2017-09-04,s/d,,,,Sin informar,2018-11-05
02,Ciudad Autónoma de Buenos Aires,349689,MPF00025054,CABA,CABA,2,JUZGADO 2,2017-09-05,s/d,475,Ln 13.944 (incumplimiento de los deberes de asistencia familiar),NO,Incumplimiento de los deberes de asistencia familiar,2018-11-05
02,Ciudad Autónoma de Buenos Aires,437480,MPF00026639,CABA,CABA,1150,JUZGADO 15,2017-06-05,2013-06-22,403,Amenazas - CP (p/ L 2303),NO,Amenazas,2018-11-05
02,Ciudad Autónoma de Buenos Aires,460926,MPF00026725,CABA,CABA,966,JUZGADO 11,2017-11-23,s/d,403,Amenazas - CP (p/ L 2303),NO,Amenazas,2018-11-05
02,Ciudad Autónoma de Buenos Aires,353867,MPF00030573,CABA,CABA,970,JUZGADO 19,2017-06-14,s/d,449,"Hostigar, maltratar, intimidar (Art. 52 según TC Ley 5666 y modif.)",NO,Contravención,2018-11-05
02,Ciudad Autónoma de Buenos Aires,356865,MPF00031975,CABA,CABA,1143,JUZGADO 7,2017-08-17,2013-08-18,403,Amenazas - CP (p/ L 2303),NO,Amenazas,2018-11-05
02,Ciudad Autónoma de Buenos Aires,372989,MPF00033006,CABA,CABA,1143,JUZGADO 7,2017-04-07,2013-09-12,403,Amenazas - CP (p/ L 2303),NO,Amenazas,2018-11-05
02,Ciudad Autónoma de Buenos Aires,372989,MPF00033006,CABA,CABA,1143,JUZGADO 7,2017-04-07,2013-09-12,404,Daños - CP (p/ L 2303),NO,Daños,2018-11-05
02,Ciudad Autónoma de Buenos Aires,361547,MPF00034054,CABA,CABA,1143,JUZGADO 7,2017-02-03,2013-10-03,403,Amenazas - CP (p/ L 2303),NO,Amenazas,2018-11-05
02,Ciudad Autónoma de Buenos Aires,361547,MPF00034054,CABA,CABA,1143,JUZGADO 7,2017-02-03,2013-10-03,449,"Hostigar, maltratar, intimidar (Art. 52 según TC Ley 5666 y modif.)",NO,Contravención,2018-11-05
02,Ciudad Autónoma de Buenos Aires,436910,MPF00034153,CABA,CABA,1467,JUZGADO 29,2017-02-07,2013-10-08,403,Amenazas - CP (p/ L 2303),NO,Amenazas,2018-11-05
02,Ciudad Autónoma de Buenos Aires,436910,MPF00034153,CABA,CABA,1467,JUZGADO 29,2017-02-07,2013-10-08,404,Daños - CP (p/ L 2303),NO,Daños,2018-11-05
02,Ciudad Autónoma de Buenos Aires,369960,MPF00034887,CABA,CABA,970,JUZGADO 19,2017-09-14,2013-10-17,403,Amenazas - CP (p/ L 2303),NO,Amenazas,2018-11-05
02,Ciudad Autónoma de Buenos Aires,397154,MPF00039969,CABA,CABA,14,JUZGADO 8,2017-01-18,2013-12-19,403,Amenazas - CP (p/ L 2303),NO,Amenazas,2018-11-05
02,Ciudad Autónoma de Buenos Aires,397154,MPF00039969,CABA,CABA,14,JUZGADO 8,2017-01-18,2013-12-19,449,"Hostigar, maltratar, intimidar (Art. 52 según TC Ley 5666 y modif.)",NO,Contravención,2018-11-05
02,Ciudad Autónoma de Buenos Aires,360754,MPF00040451,CABA,CABA,1150,JUZGADO 15,2017-01-04,2013-12-26,66,Conducir con mayor cantidad de alcohol en sangre del permitido o bajo los efectos de estupefacientes (art. 114 según tc Ley 5666 y modif.),NO,Contravención,2018-11-05
